"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 07:30","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 07:35","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 07:40","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 07:45","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 07:50","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 07:55","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:00","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:05","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:10","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:15","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:20","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","ดูข้อมูล"
