Location Description,Node Id,Sample Time,Onboard Temperature, Onboard Battery,Channel,Sensor Model,Sensor Type,Offset,Value,Units,
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 21:30,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 21:44,25.48,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.48,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 21:59,26.11,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,26.11,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 22:15,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 22:30,25.95,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.95,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 22:45,25.79,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.79,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 23:00,25.48,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.48,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 23:15,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 23:29,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 1:45,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 1:59,25.16,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.16,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 2:15,24.85,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,24.85,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 2:30,24.69,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,24.69,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 2:45,25.16,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.16,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 3:00,25.16,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.16,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 3:15,25,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 3:30,25,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 3:45,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 4:00,25,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25,ýýc,0
